ID,Scientific Name,Class,Category,Trend,Systems,Threats,Common Name
10478239.0,Cephalophus silvicultor,MAMMALIA,LR/nt,Decreasing,,,Western Yellow-Backed Duiker
10486575.0,Nandinia binotata,MAMMALIA,LC,Unknown,,,African Palm Civet
10489008.0,Bdeogale nigripes,MAMMALIA,LR/lc,Unknown,,,Black-Footed Mongoose
10490478.0,Crossarchus platycephalus,MAMMALIA,LC,Unknown,,,Flat-Headed Cusimanse
10487772.0,Atilax paludinosus,MAMMALIA,LC,Decreasing,,,Marsh Mongoose
10492731.0,Nycticeinops schlieffenii,MAMMALIA,LC,Unknown,,,Schlieffen'S Bat
10505689.0,Herpestes sanguineus,MAMMALIA,LC,Stable,,,Slender Mongoose
10511133.0,Xenogale naso,MAMMALIA,LC,Decreasing,,,Long-Nosed Mongoose
10509319.0,Herpestes ichneumon,MAMMALIA,LC,Stable,,,Egyptian Mongoose
10516009.0,Ichneumia albicauda,MAMMALIA,LR/lc,Unknown,,,White-Tailed Mongoose
10517318.0,Mungos mungo,MAMMALIA,LR/lc,Unknown,,,Banded Mongoose
10519533.0,Civettictis civetta,MAMMALIA,LC,Unknown,,,African Civet
10521041.0,Genetta genetta,MAMMALIA,LC,Stable,,,Common Genet
10522349.0,Mellivora capensis,MAMMALIA,NT,Decreasing,,,Honey Badger
10523144.0,Genetta fieldiana,MAMMALIA,LC,Unknown,,,Genetta fieldiana
10527137.0,Ictonyx libycus,MAMMALIA,LC,Unknown,,,Saharan Striped Polecat
10527721.0,Ictonyx striatus,MAMMALIA,LR/lc,Unknown,,,Striped Polecat
10534027.0,Genetta thierryi,MAMMALIA,LC,Unknown,,,Hausa Genet
10535291.0,Procavia capensis,MAMMALIA,LC,Unknown,,,Cape Hyrax (Capensis)
10535996.0,Phacochoerus africanus,MAMMALIA,LR/lc,Unknown,,,African Warthog
10536399.0,Hylochoerus meinertzhageni,MAMMALIA,LC,Decreasing,,,Forest Hog
10552606.0,Centrophorus uyato,CHONDRICHTHYES,DD,Unknown,,,Little Gulper Shark
10549437.0,Deania calceus,CHONDRICHTHYES,LC,Unknown,,,Birdbeak Dogfish
10552910.0,Centroscymnus coelolepis,CHONDRICHTHYES,NT,Unknown,,,Portuguese Dogfish
10558857.0,Potamochoerus porcus,MAMMALIA,LC,Decreasing,,,Red River Hog
10565789.0,Lepus victoriae,MAMMALIA,LC,Unknown,,,African Savanna Hare
10554884.0,Physeter macrocephalus,MAMMALIA,VU,Unknown,,,Cachalot
10579779.0,Rhizoprionodon acutus,CHONDRICHTHYES,LC,Unknown,,,Grey Dog Shark
10592329.0,Encephalartos barteri,CYCADOPSIDA,VU,Decreasing,,,Encephalartos barteri
10584098.0,Squalus mitsukurii,CHONDRICHTHYES,DD,Unknown,,,Shortspine Spurdog
10621068.0,Cercocebus torquatus,MAMMALIA,VU,Decreasing,,,Collared Mangabey
10651426.0,Cercopithecus erythrotis,MAMMALIA,VU,Decreasing,,,Cameroon Red-Eared Monkey
10672587.0,Cercopithecus erythrogaster,MAMMALIA,EN,Decreasing,,,Red-Bellied Guenon
10677731.0,Cercopithecus mona,MAMMALIA,LC,Unknown,,,Mona Guenon
10678294.0,Cercopithecus sclateri,MAMMALIA,EN,Decreasing,,,Sclater S Guenon
10682370.0,Cercopithecus nictitans,MAMMALIA,LC,Decreasing,,,Eastern Putty-Nosed Monkey (Nictitans)
10685203.0,Allochrocebus preussi,MAMMALIA,EN,Decreasing,,,1898)
10773881.0,Mops ansorgei,MAMMALIA,LC,Stable,,,Greater Mastiff Bat
10694767.0,Chlorocebus aethiops,MAMMALIA,LR/lc,Unknown,,,Grivet
10781099.0,Mops major,MAMMALIA,LC,Stable,,,Greater Mastiff Bat
10774462.0,Mops bemmeleni,MAMMALIA,LC,Unknown,,,Greater Mastiff Bat
10781978.0,Mops nigeriae,MAMMALIA,LC,Unknown,,,Greater Mastiff Bat
10783509.0,Chaerephon pumilus,MAMMALIA,LC,Unknown,,,Lesser Free-Tailed Bat
10830527.0,Psychotria moseskemei,MAGNOLIOPSIDA,CR,Unknown,,,Psychotria moseskemei
10819034.0,Chaetodon robustus,ACTINOPTERYGII,LC,Stable,,,Three-Banded Butterflyfish
10867579.0,Tragelaphus derbianus,MAMMALIA,LC,Decreasing,,,Giant Eland
10883165.0,Sphaerium bequaerti,BIVALVIA,LC,Unknown,,,Sphaerium bequaerti
10926033.0,Macronycteris gigas,MAMMALIA,LC,Unknown,,,Giant Leaf-Nosed Bat
10929427.0,Myonycteris angolensis,MAMMALIA,LC,Decreasing,,,Angolan Rousette
10931893.0,Galeus polli,CHONDRICHTHYES,LC,Stable,,,African Sawtail Catshark
10938072.0,Rhinolophus hillorum,MAMMALIA,NT,Decreasing,,,Hill'S Horseshoe Bat
10932089.0,Rajella barnardi,CHONDRICHTHYES,LC,Stable,,,Bigthorn Skate
10941270.0,Glauconycteris beatrix,MAMMALIA,NT,Unknown,,,Beatrix Butterfly Bat
10943828.0,Glauconycteris poensis,MAMMALIA,LC,Unknown,,,Abo Bat
10947803.0,Glauconycteris variegata,MAMMALIA,LC,Unknown,,,Butterfly Bat
10955912.0,Anomalurus beecrofti,MAMMALIA,LC,Unknown,,,Beecroft S Scaly-Tailed Squirrel.
10959593.0,Graphiurus nagtglasii,MAMMALIA,LC,Unknown,,,Nagtglas African Dormouse
10959744.0,Pseudoromicia brunnea,MAMMALIA,LR/nt,Unknown,,,Dark-Brown Pipistrelle
10960245.0,Laephotis capensis,MAMMALIA,LC,Stable,,,Cape Serotine
10961530.0,Neoromicia guineensis,MAMMALIA,LC,Unknown,,,Guinea Serotine
10960733.0,Arvicanthis ansorgei,MAMMALIA,LC,Unknown,,,Ansorge' ’ S Grass Rat
10962640.0,Afronycteris nanus,MAMMALIA,LC,Unknown,,,Banana Bat
10963333.0,Pseudoromicia rendalli,MAMMALIA,LC,Unknown,,,Rendall'S Serotine
10963816.0,Neoromicia somalica,MAMMALIA,LC,Unknown,,,Somali Pipistrelle Bat
10964325.0,Pseudoromicia tenuipinnis,MAMMALIA,LC,Unknown,,,Slender-Winged Pipistrelle Bat
10967020.0,Acomys johannis,MAMMALIA,LC,Stable,,,Johan S Spiny Mouse
10972640.0,Mastomys kollmannspergeri,MAMMALIA,LR/nt,Unknown,,,Kollmannsperger S Mastomys
10973435.0,Praomys daltoni,MAMMALIA,LC,Stable,,,Activity Patterns
10976510.0,Sylvisorex camerunensis,MAMMALIA,VU,Decreasing,,,Cameroon Forest Shrew
10973716.0,Praomys derooi,MAMMALIA,LC,Stable,,,Deroo S Praomys
10978418.0,Mastomys huberti,MAMMALIA,LC,Increasing,,,Guinea Mastomys
10979466.0,Gerbilliscus gambiana,MAMMALIA,LC,Stable,,,Gambian Gerbil
10996255.0,Cleistopholis staudtii,MAGNOLIOPSIDA,VU,Unknown,,,Cleistopholis staudtii
10998303.0,Begonia pseudoviola,MAGNOLIOPSIDA,VU,Unknown,,,Begonia pseudoviola
10997499.0,Pararistolochia goldieana,MAGNOLIOPSIDA,VU,Decreasing,,,Pararistolochia goldieana
10998792.0,Crassocephalum bauchiense,MAGNOLIOPSIDA,VU,Unknown,,,Crassocephalum bauchiense
10999178.0,Crotonogyne strigosa,MAGNOLIOPSIDA,VU,Decreasing,,,Crotonogyne strigosa
10999901.0,Nodonema lineatum,MAGNOLIOPSIDA,VU,Unknown,,,Nodonema lineatum
10999486.0,Drypetes staudtii,MAGNOLIOPSIDA,VU,Decreasing,,,Drypetes staudtii
10999409.0,Drypetes molundana,MAGNOLIOPSIDA,VU,Decreasing,,,Drypetes molundana
11017141.0,Anthocleista microphylla,MAGNOLIOPSIDA,VU,Decreasing,,,Anthocleista microphylla
11016179.0,Napoleonaea egertonii,MAGNOLIOPSIDA,VU,Decreasing,,,Napoleonaea egertonii
11016645.0,Angylocalyx talbotii,MAGNOLIOPSIDA,VU,Decreasing,,,Angylocalyx talbotii
11017669.0,Tapinanthus preussii,MAGNOLIOPSIDA,VU,Decreasing,,,Tapinanthus preussii
11017287.0,Anthocleista scandens,MAGNOLIOPSIDA,VU,Decreasing,,,Anthocleista scandens
11018721.0,Dorstenia prorepens,MAGNOLIOPSIDA,VU,Decreasing,,,Dorstenia prorepens
11022831.0,Cuviera talbotii,MAGNOLIOPSIDA,VU,Decreasing,,,Cuviera talbotii
11022622.0,Eumachia obanensis,MAGNOLIOPSIDA,VU,Unknown,,,Eumachia obanensis
11023160.0,Ixora foliosa,MAGNOLIOPSIDA,VU,Decreasing,,,Ixora foliosa
11025016.0,Phyllopentas ledermannii,MAGNOLIOPSIDA,VU,Decreasing,,,Phyllopentas ledermannii
11033575.0,Deinbollia insignis,MAGNOLIOPSIDA,VU,Decreasing,,,Deinbollia insignis
11033700.0,Deinbollia maxima,MAGNOLIOPSIDA,VU,Decreasing,,,Deinbollia maxima
11032804.0,Sabicea pedicellata,MAGNOLIOPSIDA,VU,Decreasing,,,Sabicea pedicellata
11033452.0,Allophylus bullatus,MAGNOLIOPSIDA,VU,Decreasing,,,Allophylus bullatus
11034336.0,Rhabdotosperma ledermannii,MAGNOLIOPSIDA,VU,Decreasing,,,Rhabdotosperma ledermannii
11034449.0,Quassia sanguinea,MAGNOLIOPSIDA,VU,Decreasing,,,Quassia sanguinea
11035242.0,Aneilema silvaticum,LILIOPSIDA,VU,Decreasing,,,Aneilema silvaticum
11036136.0,Dracaena viridiflora,LILIOPSIDA,VU,Unknown,,,Dracaena viridiflora
11035416.0,Floscopa mannii,LILIOPSIDA,EN,Decreasing,,,Floscopa mannii
11039014.0,Psychotria podocarpa,MAGNOLIOPSIDA,VU,Decreasing,,,Psychotria podocarpa
11039228.0,Rutidea nigerica,MAGNOLIOPSIDA,VU,Unknown,,,Rutidea nigerica
11039310.0,Sabicea xanthotricha,MAGNOLIOPSIDA,EN,Decreasing,,,Sabicea xanthotricha
11039459.0,Empogona talbotii,MAGNOLIOPSIDA,VU,Decreasing,,,Empogona talbotii
11039529.0,Trichostachys interrupta,MAGNOLIOPSIDA,VU,Decreasing,,,Trichostachys interrupta
